rms,zero_crossings,peak_to_peak,mad
1.7384805828444365,0.0,1.6655586352212903,0.1847087129052503
1.4818385577029192,1.0,4.119457810291164,0.18882714199940118
1.795350015147948,0.0,1.1964171585175283,0.16875234677972556
1.6435411429024243,1.0,3.842915833304837,0.16084488189245788
1.537945965459976,1.0,4.206854163376354,0.16832717599771368
1.8489578117720296,0.0,1.3342496937113915,0.16257614345164056
1.573961086143979,1.0,4.102099188340437,0.17819562851653564
1.607225653606906,1.0,3.986942205828229,0.1641612116926267
1.8266987238542474,0.0,1.1716066050328018,0.16995611979789546
1.507167575456049,1.0,4.087933142621512,0.17281042795902984
1.703857853922206,1.0,3.664714034318192,0.16709564443504513
1.7857476320020667,0.0,1.5016757641213694,0.1664915494953426
1.4870681682119584,1.0,4.063411603202159,0.17459595184834825
1.7793277390811064,0.0,1.3986088977826285,0.16274883017679018
1.7030135295514153,1.0,3.65310761996677,0.18600707378826917
1.5749425989948536,0.0,1.4521217907027435,0.17406204816369097
